Rank,Name,Symbol,Market Cap,Price
1,Bitcoin,BTC,600888568010,32289.38
2,Ethereum,ETH,159184556292,1391.61
3,Tether,USDT,24852549111,1.00
4,Polkadot,DOT,16268654954,18.00
5,XRP,XRP,12418387933,0.2735
6,Cardano,ADA,11010118427,0.3539
7,Chainlink,LINK,9942734313,24.70
8,Litecoin,LTC,9387244668,141.48
9,Bitcoin Cash,BCH,8201974858,440.10
10,Binance Coin,BNB,6472081160,41.88
11,Stellar,XLM,6000202935,0.2716
12,USD Coin,USDC,5521308075,1.00
13,Wrapped Bitcoin,WBTC,3639190853,32241.80
14,Uniswap,UNI,3450685059,12.05
15,Aave,AAVE,3251074104,264.85
16,Bitcoin SV,BSV,3260068492,174.95
17,EOS,EOS,2551291496,2.71
18,Monero,XMR,2449982301,137.47
19,Tezos,XTZ,2306657466,3.04
20,TRON,TRX,2151247382,0.03002
21,Synthetix,SNX,2006589973,17.47
22,VeChain,VET,1970079718,0.03063
23,THETA,THETA,1951568156,1.95
24,NEM,XEM,1931684350,0.2146
25,Cosmos,ATOM,1724896717,8.24
26,Neo,NEO,1726263041,24.47
27,Crypto.com Coin,CRO,1660314206,0.07266
28,Dai,DAI,1534097442,1.00
29,Maker,MKR,1447987046,1454.25
30,UNUS SED LEO,LEO,1328374435,1.33
31,IOTA,MIOTA,1266536082,0.4557
32,Celsius,CEL,1265159636,5.30
33,Binance USD,BUSD,1224030836,1.00
34,Compound,COMP,1118037820,250.62
35,Huobi Token,HT,1126008369,5.77
36,Dogecoin,DOGE,1117773115,0.008727
37,Dash,DASH,1055206545,106.20
38,SushiSwap,SUSHI,1063045014,8.35
39,Filecoin,FIL,1039149046,22.76
40,Revain,REV,993033976,0.01167
41,Zcash,ZEC,985495305,89.73
42,FTX Token,FTT,976245790,10.35
43,yearn.finance,YFI,964328081,32177.74
44,Avalanche,AVAX,958937265,12.46
45,Solana,SOL,951852780,3.63
46,Ethereum Classic,ETC,887828905,7.63
47,Kusama,KSM,881540851,104.08
48,Zilliqa,ZIL,751422518,0.06910
49,Waves,WAVES,729419880,7.00
50,Elrond,EGLD,692696512,41.37
51,The Graph,GRT,692435218,0.5559
52,Algorand,ALGO,689909449,0.5634
53,NEAR Protocol,NEAR,676429239,2.56
54,Hedera Hashgraph,HBAR,651673309,0.09386
55,UMA,UMA,641539533,11.52
56,Decred,DCR,627098562,50.07
57,Ren,REN,556641758,0.6290
58,HedgeTrade,HEDG,559262535,1.60
59,Celo,CELO,511819706,2.77
60,Loopring,LRC,509517881,0.4193
61,OMG Network,OMG,503324397,3.59
62,Ontology,ONT,493163287,0.6121
63,renBTC,RENBTC,488438128,32255.66
64,Basic Attention Token,BAT,472986556,0.3191
65,Nano,NANO,450848225,3.38
66,Curve DAO Token,CRV,449709333,2.27
67,ICON,ICX,443835134,0.7597
68,Terra,LUNA,439812500,0.9073
69,0x,ZRX,411242797,0.5482
70,TrueUSD,TUSD,412651090,1.00
71,THORChain,RUNE,411207429,2.60
72,Nexo,NEXO,408915830,0.7302
73,HUSD,HUSD,380701750,1.00
74,BitTorrent,BTT,373274762,0.0003771
75,Reserve Rights,RSR,363301844,0.03886
76,Stacks,STX,366808415,0.4958
77,DigiByte,DGB,356053697,0.02548
78,OKB,OKB,353897464,5.90
79,Qtum,QTUM,346226532,3.55
80,Enjin Coin,ENJ,345562257,0.4198
81,NXM,NXM,316874089,51.45
82,IOST,IOST,290632072,0.01775
83,Horizen,ZEN,291400693,27.26
84,SwissBorg,CHSB,284588774,0.3053
85,Kyber Network,KNC,278660905,1.38
86,Decentraland,MANA,264031244,0.1721
87,Quant,QNT,254270016,21.06
88,Energy Web Token,EWT,248639407,8.27
89,Paxos Standard,PAX,244896411,0.9998
90,Ocean Protocol,OCEAN,237665087,0.5672
91,Bitcoin BEP2,BTCB,226142322,32209.12
92,TerraUSD,UST,222962467,0.9989
93,Ampleforth,AMPL,212726883,1.08
94,Siacoin,SC,210783846,0.004648
95,Voyager Token,VGX,207363493,0.9328
96,Verge,XVG,206161832,0.01255
97,Arweave,AR,202194470,6.05
98,Augur,REP,201979492,18.36
99,Band Protocol,BAND,192194731,9.38
100,Bitcoin Gold,BTG,193649883,11.06
101,Bancor,BNT,191551683,1.86
102,Alpha Finance Lab,ALPHA,190030367,1.09
103,1inch,1INCH,178704022,2.48
104,Lisk,LSK,172656651,1.36
105,ABBC Coin,ABBC,171929070,0.2019
106,Gnosis,GNO,169306587,112.53
107,Status,SNT,169411917,0.04882
108,Aragon,ANT,168353029,4.25
109,Matic Network,MATIC,161380307,0.03318
110,Balancer,BAL,159778139,23.01
111,MaidSafeCoin,MAID,154661130,0.3418
112,Theta Fuel,TFUEL,149539874,0.02859
113,Fantom,FTM,142788672,0.05611
114,Nervos Network,CKB,137850349,0.005821
115,Ravencoin,RVN,137101883,0.01717
116,Injective Protocol,INJ,134048911,8.78
117,ZB Token,ZB,127957189,0.2762
118,Numeraire,NMR,122911960,27.52
119,Bitcoin Diamond,BCD,121804327,0.6531
120,Kava.io,KAVA,120083116,2.56
121,Golem,GLM,119340871,0.1193
122,Helium,HNT,118846788,1.76
123,Holo,HOT,116106443,0.0006934
124,FunFair,FUN,117533688,0.01795
125,MonaCoin,MONA,114619384,1.74
126,RSK Infrastructure Framework,RIF,113116368,0.1643
127,PAX Gold,PAXG,111156554,1859.47
128,Pundi X,NPXS,112844307,0.0004791
129,Orchid,OXT,108588592,0.2954
130,Chiliz,CHZ,107884922,0.01982
131,iExec RLC,RLC,103652122,1.29
132,Civic,CVC,104449122,0.1559
133,Unibright,UBT,99982457,0.6719
